Philippines9450,PHI,9450,9450,9450,9450,9450,9450
Philippines76,PHI,76,76,76,76,76,76
Philippines1087,PHI,1087,1087,1087,1087,1087,1087
Philippines8485,PHI,8485,8485,8485,8485,8485,8485
Philippines1763,PHI,1763,1763,1763,1763,1763,1763
Philippines2956,PHI,2956,2956,2956,2956,2956,2956
Philippines4792,PHI,4792,4792,4792,4792,4792,4792
Philippines7470,PHI,7470,7470,7470,7470,7470,7470
Philippines1519,PHI,1519,1519,1519,1519,1519,1519
Philippines534,PHI,534,534,534,534,534,534
Philippines5594,PHI,5594,5594,5594,5594,5594,5594
Philippines2089,PHI,2089,2089,2089,2089,2089,2089
Philippines8332,PHI,8332,8332,8332,8332,8332,8332
Philippines3814,PHI,3814,3814,3814,3814,3814,3814
Philippines9451,PHI,9451,9451,9451,9451,9451,9451
Philippines4356,PHI,4356,4356,4356,4356,4356,4356
Philippines2557,PHI,2557,2557,2557,2557,2557,2557
Philippines9259,PHI,9259,9259,9259,9259,9259,9259
Philippines3057,PHI,3057,3057,3057,3057,3057,3057
Philippines2390,PHI,2390,2390,2390,2390,2390,2390
Philippines5112,PHI,5112,5112,5112,5112,5112,5112
Philippines4406,PHI,4406,4406,4406,4406,4406,4406
Philippines9944,PHI,9944,9944,9944,9944,9944,9944
Philippines4153,PHI,4153,4153,4153,4153,4153,4153
Philippines9171,PHI,9171,9171,9171,9171,9171,9171
Philippines7982,PHI,7982,7982,7982,7982,7982,7982
Philippines2578,PHI,2578,2578,2578,2578,2578,2578
Philippines2205,PHI,2205,2205,2205,2205,2205,2205
Philippines4901,PHI,4901,4901,4901,4901,4901,4901
Philippines7339,PHI,7339,7339,7339,7339,7339,7339
Philippines7225,PHI,7225,7225,7225,7225,7225,7225
Philippines7129,PHI,7129,7129,7129,7129,7129,7129
Philippines2197,PHI,2197,2197,2197,2197,2197,2197
Philippines4856,PHI,4856,4856,4856,4856,4856,4856
Philippines6252,PHI,6252,6252,6252,6252,6252,6252
Philippines8992,PHI,8992,8992,8992,8992,8992,8992
Philippines2657,PHI,2657,2657,2657,2657,2657,2657
Philippines2880,PHI,2880,2880,2880,2880,2880,2880
Philippines4101,PHI,4101,4101,4101,4101,4101,4101
Philippines6006,PHI,6006,6006,6006,6006,6006,6006
Philippines9582,PHI,9582,9582,9582,9582,9582,9582
Philippines645,PHI,645,645,645,645,645,645
Philippines5812,PHI,5812,5812,5812,5812,5812,5812
Philippines7031,PHI,7031,7031,7031,7031,7031,7031
Philippines126,PHI,126,126,126,126,126,126
Philippines1919,PHI,1919,1919,1919,1919,1919,1919
Philippines6126,PHI,6126,6126,6126,6126,6126,6126
Philippines7482,PHI,7482,7482,7482,7482,7482,7482
Philippines9349,PHI,9349,9349,9349,9349,9349,9349
Philippines9661,PHI,9661,9661,9661,9661,9661,9661
Philippines5723,PHI,5723,5723,5723,5723,5723,5723
Philippines4799,PHI,4799,4799,4799,4799,4799,4799
Philippines8841,PHI,8841,8841,8841,8841,8841,8841
Philippines4343,PHI,4343,4343,4343,4343,4343,4343
Philippines1924,PHI,1924,1924,1924,1924,1924,1924
Philippines5177,PHI,5177,5177,5177,5177,5177,5177
Philippines4458,PHI,4458,4458,4458,4458,4458,4458
Philippines5265,PHI,5265,5265,5265,5265,5265,5265
Philippines45,PHI,45,45,45,45,45,45
Philippines4532,PHI,4532,4532,4532,4532,4532,4532
Philippines1259,PHI,1259,1259,1259,1259,1259,1259
Philippines3598,PHI,3598,3598,3598,3598,3598,3598
